Jack,Abbott,Jack Abbott,"Abbott, Jack",Labour,Ipswich,jack.abbott.mp@parliament.uk,House of Commons,London,SW1A 0AA
Diane,Abbott,Ms Diane Abbott,"Abbott, Ms Diane",Labour,Hackney North and Stoke Newington,diane.abbott.office@parliament.uk,House of Commons,London,SW1A 0AA
Debbie,Abrahams,Debbie Abrahams,"Abrahams, Debbie",Labour,Oldham East and Saddleworth,abrahamsd@parliament.uk,House of Commons,London,SW1A 0AA
Shockat,Adam,Shockat Adam,"Adam, Shockat",Independent,Leicester South,shockat.adam.mp@parliament.uk,House of Commons,London,SW1A 0AA
Zubir,Ahmed,Dr Zubir Ahmed,"Ahmed, Dr Zubir",Labour,Glasgow South West,zubir.ahmed.mp@parliament.uk,House of Commons,London,SW1A 0AA
Luke,Akehurst,Luke Akehurst,"Akehurst, Luke",Labour,North Durham,luke.akehurst.mp@parliament.uk,House of Commons,London,SW1A 0AA
Bayo,Alaba,Bayo Alaba,"Alaba, Bayo",Labour,Southend East and Rochford,bayo.alaba.mp@parliament.uk,House of Commons,London,SW1A 0AA
Daniel,Aldridge,Daniel Aldridge,"Aldridge, Daniel",Labour,Weston-super-Mare,daniel.aldridge.mp@parliament.uk,House of Commons,London,SW1A 0AA
Heidi,Alexander,Heidi Alexander,"Alexander, Heidi",Labour,Swindon South,heidi.alexander.mp@parliament.uk,House of Commons,London,SW1A 0AA
Douglas,Alexander,Mr Douglas Alexander,"Alexander, Mr Douglas",Labour,Lothian East,douglas.alexander.mp@parliament.uk,House of Commons,London,SW1A 0AA
Sadik,Al-Hassan,Sadik Al-Hassan,"Al-Hassan, Sadik",Labour,North Somerset,sadik.alhassan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rushanara,Ali,Rushanara Ali,"Ali, Rushanara",Labour,Bethnal Green and Stepney,rushanara.ali.mp@parliament.uk,House of Commons,London,SW1A 0AA
Tahir,Ali,Tahir Ali,"Ali, Tahir",Labour,Birmingham Hall Green and Moseley,tahir.ali.mp@parliament.uk,House of Commons,London,SW1A 0AA
Rosena,Allin-Khan,Dr Rosena Allin-Khan,"Allin-Khan, Dr Rosena",Labour,Tooting,rosena.allinkhan.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jim,Allister,Jim Allister,"Allister, Jim",Traditional Unionist Voice,North Antrim,jim.allister.mp@parliament.uk,House of Commons,London,SW1A 0AA
Mike,Amesbury,Mike Amesbury,"Amesbury, Mike",Labour,Runcorn and Helsby,mike.amesbury.mp@parliament.uk,House of Commons,London,SW1A 0AA
Gideon,Amos,Mr Gideon Amos,"Amos, Mr Gideon",Liberal Democrat,Taunton and Wellington,gideon.amos.mp@parliament.uk,House of Commons,London,SW1A 0AA
Callum,Anderson,Callum Anderson,"Anderson, Callum",Labour,Buckingham and Bletchley,callum.anderson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Fleur,Anderson,Fleur Anderson,"Anderson, Fleur",Labour,Putney,fleur.anderson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Lee,Anderson,Lee Anderson,"Anderson, Lee",Reform UK,Ashfield,lee.anderson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stuart,Anderson,Stuart Anderson,"Anderson, Stuart",Conservative,South Shropshire,stuart.anderson.mp@parliament.uk,House of Commons,London,SW1A 0AA
Stuart,Andrew,Stuart Andrew,"Andrew, Stuart",Conservative,Daventry,stuart.andrew.mp@parliament.uk,House of Commons,London,SW1A 0AA
Tonia,Antoniazzi,Tonia Antoniazzi,"Antoniazzi, Tonia",Labour,Gower,tonia.antoniazzi.mp@parliament.uk,House of Commons,London,SW1A 0AA
Steff,Aquarone,Steff Aquarone,"Aquarone, Steff",Liberal Democrat,North Norfolk,steff.aquarone.mp@parliament.uk,House of Commons,London,SW1A 0AA
Edward,Argar,Edward Argar,"Argar, Edward",Conservative,Melton and Syston,edward.argar.mp@parliament.uk,House of Commons,London,SW1A 0AA
Scott,Arthur,Dr Scott Arthur,"Arthur, Dr Scott",Labour,Edinburgh South West,scott.arthur.mp@parliament.uk,House of Commons,London,SW1A 0AA
Jessica,Asato,Jess Asato,"Asato, Jess",Labour,Lowestoft,jess.asato.mp@parliament.uk,House of Commons,London,SW1A 0AA
